Gupta2011 Table 2
Properties of SN Ia Sample and Host Galaxies

SN ID	IAU	RA	Dec	redshift	redshift uncert	M -	M	M +	Age -	Age	Age +	c	c uncert	x_1	x_1 uncert	HR	HR uncert
14871	2006jq	54.2769241333	0.0092711495	0.12760 	 0.00050	9.21	9.26	9.31	2.85	3.84	5.27	-0.086 	 0.019	1.128 	 0.178	0.0349 	 0.0518	
14979	2006jr	54.9465255737	0.9921327233	0.17710 	 0.00050	10.00	10.01	10.10	3.96	4.42	6.78	-0.119 	 0.021	-0.055 	 0.192	-0.0599 	 0.0596	
15132	2006jt	329.6999511719	0.1987692863	0.14400 	 0.00500	9.45	9.46	9.47	2.69	2.69	2.74	-0.138 	 0.021	0.752 	 0.211	0.1824 	 0.1300	
15201	2006ks	337.5189208984	0.0031410647	0.20850 	 0.00050	11.26	11.34	11.41	6.16	8.16	10.26	0.129 	 0.038	-1.386 	 0.474	0.3592 	 0.1117	
15203	2006jy	15.7347574234	0.1830275059	0.20430 	 0.00050	10.14	10.22	10.26	5.21	8.21	9.81	0.001 	 0.028	1.139 	 0.335	-0.0040 	 0.0797	
15213	2006lk	53.0192298889	-0.1002237424	0.31120 	 0.00050	10.58	10.62	10.67	4.67	5.82	6.52	-0.042 	 0.051	-0.247 	 0.570	-0.1117 	 0.1401	
15217	2006jv	22.6341056824	0.2209988385	0.36800 	 0.00500	10.71	10.79	10.87	3.80	4.77	6.65	-0.056 	 0.116	-1.623 	 1.142	-0.0224 	 0.3205	
15219	2006ka	34.6107521057	0.2261287570	0.24800 	 0.00500	10.94	11.02	11.08	2.51	3.62	5.48	-0.165 	 0.034	-0.294 	 0.522	0.1063 	 0.1252	
15229	2006kr	4.8320274353	1.0906258821	0.22680 	 0.00050	9.09	9.12	9.18	2.17	2.27	2.89	-0.048 	 0.032	0.575 	 0.362	0.0729 	 0.0912	
15259	2006kc	337.5441894531	-0.4077875614	0.21003 	 0.00011	9.14	9.25	9.36	3.00	4.82	6.66	-0.005 	 0.027	0.184 	 0.290	-0.1254 	 0.0775	
15287	2006kt	323.9606628418	-1.0589238405	0.25400 	 0.00500	10.47	10.58	10.65	4.30	6.70	8.85	-0.080 	 0.027	0.859 	 0.350	0.0237 	 0.1050	
15354	2006lp	6.7742686272	-0.1259586960	0.22210 	 0.00050	10.82	10.85	10.88	9.02	10.12	11.02	0.138 	 0.056	-2.119 	 0.458	-0.1773 	 0.1401	
15356	2006lm	335.0533142090	0.4099416137	0.27470 	 0.00050	10.41	10.54	10.62	4.62	6.72	8.65	-0.018 	 0.046	-0.566 	 0.530	-0.1923 	 0.1300	
15369	2006ln	348.8330383301	-0.5626841784	0.23200 	 0.00500	8.95	9.06	9.18	2.72	4.02	5.83	-0.014 	 0.026	0.624 	 0.304	-0.4142 	 0.1023	
15383	2006lq	34.1496849060	-0.1552789956	0.31620 	 0.00050	10.54	10.67	10.77	3.71	5.22	8.11	-0.042 	 0.049	-0.332 	 0.622	-0.0459 	 0.1512	
15421	2006kw	33.7412719727	0.6027206182	0.18500 	 0.00050	10.09	10.14	10.22	3.01	4.10	5.68	-0.031 	 0.024	-0.104 	 0.297	0.0667 	 0.0691	
15425	2006kx	55.5610733032	0.4783548415	0.16004 	 0.00014	10.50	10.57	10.59	4.69	6.29	8.69	-0.031 	 0.021	0.834 	 0.257	-0.2347 	 0.0592	
15440	2006lr	39.7205924988	0.0901087895	0.26190 	 0.00050	10.59	10.71	10.83	3.76	6.23	7.80	0.097 	 0.038	-0.767 	 0.546	-0.2466 	 0.1116	
15443	2006lb	49.8674354553	-0.3179923296	0.18202 	 0.00010	10.26	10.32	10.37	4.38	6.51	7.36	-0.077 	 0.025	1.357 	 0.304	-0.0756 	 0.0592	
15453	2006ky	319.6684570312	-1.0242410898	0.18370 	 0.00050	8.95	9.04	9.14	3.08	4.53	6.17	-0.021 	 0.031	1.279 	 0.390	0.1745 	 0.0757	
15456	2006ll	331.8668518066	-0.9038056135	0.38210 	 0.00050	10.93	10.97	11.02	5.08	5.76	6.15	-0.128 	 0.083	-0.712 	 1.053	-0.1778 	 0.2437	
15459	2006la	340.7014160156	-0.9017586112	0.12670 	 0.00050	9.04	9.04	9.06	2.81	2.81	2.86	0.138 	 0.026	0.225 	 0.257	0.4487 	 0.0599	
15461	2006kz	326.8482055664	-0.4947634041	0.18000 	 0.00500	10.30	10.35	10.42	4.82	6.09	8.25	-0.083 	 0.027	-0.371 	 0.280	-0.0081 	 0.1148	
15466	2006mz	317.6454467773	-0.1227247939	0.24610 	 0.00050	10.50	10.56	10.61	2.53	3.93	5.74	0.070 	 0.051	-1.494 	 0.462	-0.3856 	 0.1195	
15467	 ... 	320.0201110840	-0.1773548573	0.21043 	 0.00009	10.35	10.35	10.37	2.27	2.31	2.85	-0.042 	 0.032	0.848 	 0.391	-0.1144 	 0.0815	
15504	2006oc	345.7013854980	-0.8768699169	0.27010 	 0.00050	11.03	11.08	11.14	3.15	4.20	6.06	0.257 	 0.061	3.638 	 0.866	0.0931 	 0.1800	
15508	2006ls	27.1694507599	-0.5757497549	0.14740 	 0.00050	9.85	9.88	9.91	2.80	3.39	3.96	-0.084 	 0.021	0.574 	 0.217	-0.1928 	 0.0516	
15583	2006mv	37.7310752869	0.9462816715	0.17520 	 0.00050	9.08	9.13	9.19	2.74	3.24	4.44	0.069 	 0.029	-0.474 	 0.282	-0.0197 	 0.0714	
15648	2006ni	313.7187805176	-0.1958119273	0.17496 	 0.00017	11.23	11.29	11.36	6.12	8.62	10.62	0.186 	 0.049	-1.277 	 0.511	-0.0871 	 0.1083	
15704	2006nh	40.2121353149	0.6598128676	0.36500 	 0.00500	10.78	10.83	10.88	5.94	6.89	7.17	-0.096 	 0.066	0.706 	 0.874	0.1095 	 0.1858	
15776	2006na	32.8302955627	-0.9981175065	0.30500 	 0.00500	11.18	11.19	11.21	9.81	10.21	10.21	-0.116 	 0.081	-1.662 	 0.743	0.1115 	 0.2089	
