SNID,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,redshift
14331,7.88905047746,-0.135587839852,22.16237,20.86697,20.42788,20.02896,19.8022,0.3436842,0.04933864,0.05186138,0.05420905,0.1650248,0.2211987
14340,345.826729042,-0.855270758591,26.5577,20.01512,18.35268,17.75965,17.38982,0.6915805,0.03328507,0.01227259,0.0112235,0.02712117,0.2773798
14375,37.8771466699,-0.573472936242,22.36842,20.69485,19.26918,18.84769,18.68765,0.5011067,0.06067771,0.02375638,0.02297717,0.06566378,0.3232125
14377,48.2637649688,-0.471764667521,20.49115,18.8703,18.03447,17.56095,17.19326,0.1127644,0.01331676,0.009649561,0.009633535,0.02334536,0.1394096
14403,16.838211847,0.651948355588,23.42198,21.85701,20.79335,20.33741,20.71905,0.7027318,0.08552128,0.05117485,0.05434573,0.2661157,0.2897178
14421,31.829932232,1.25201389797,19.72135,17.88875,16.74181,16.24649,15.9183,0.09746388,0.01010629,0.005994289,0.005901332,0.01388334,0.1749031
14437,332.080943683,-1.19630544959,23.71851,21.16519,20.19045,19.60637,19.30037,0.8508152,0.04865295,0.02794798,0.0248161,0.0750685,0.1492953
14445,340.962236535,-0.753884078749,22.13892,19.76905,18.25579,17.69776,17.32759,0.375262,0.02139802,0.01011916,0.009131798,0.02020684,0.2370039
14480,0.0175453839426,0.0228942211758,24.62052,22.23594,20.59846,20.10147,19.69911,0.7472365,0.08258758,0.03236992,0.02979017,0.08119409,0.3307804
14481,2.68147977336,0.201848668585,21.33033,19.9877,18.63057,18.1437,17.73443,0.1738514,0.02574236,0.01343793,0.01221079,0.03195387,0.2435799
14524,41.5626007074,-0.797662423672,21.75657,20.52183,19.51895,19.04486,18.68614,0.1828433,0.03052462,0.01939771,0.01819501,0.0440999,0.272116
14593,54.9636492598,-0.777618128358,22.43762,21.12941,19.21031,18.45228,17.94712,0.6432599,0.08666675,0.02542056,0.01967885,0.04456034,0.3072054
14784,323.798987142,-0.348862360463,21.55876,20.27961,19.2625,18.75219,18.42744,0.1803564,0.02725319,0.01753638,0.01680362,0.04819291,0.1923295
14816,336.716189703,0.506397121384,20.8557,18.88272,17.89425,17.43931,17.09998,0.1003924,0.01077787,0.00711425,0.00731805,0.01543611,0.107221
14965,18.9353663908,1.03769661027,22.12735,20.87994,20.22831,19.92006,19.80659,0.3440075,0.05411251,0.04461389,0.05228823,0.157602,0.2810205
1504,40.0063554716,0.204985518748,23.74006,22.05392,20.48292,19.80191,19.71108,0.9578173,0.1117835,0.04182827,0.03527794,0.1365104,0.3172123
15057,17.8811584038,0.409523667417,22.51564,21.64268,21.06271,20.90724,20.37705,0.3335561,0.06082999,0.05682316,0.06937513,0.1867588,0.2468747
15129,318.902081454,-0.321710234625,20.75732,19.23714,18.31989,17.81326,17.58748,0.1271486,0.01709751,0.011625,0.01116578,0.03394647,0.198276
15136,351.162220847,-0.717945871471,18.68011,17.65105,16.9479,16.51857,16.232,0.03181607,0.007484613,0.00621977,0.006166416,0.01405973,0.1486456
15137,356.107419454,-0.806669665566,23.69378,21.65445,20.59303,20.12673,19.73507,0.748697,0.07211673,0.0441319,0.04141903,0.09665988,0.2789776
15201,337.518923987,0.00312269908755,22.11245,19.54127,18.08088,17.57056,17.21292,0.5504813,0.02497078,0.01173328,0.01088883,0.03056923,0.2087961
15203,15.7347523959,0.183005679652,24.03321,21.35952,20.16243,19.78087,19.60562,0.6669382,0.04368657,0.02289098,0.02292554,0.07941757,0.2044248
15219,34.6107546157,0.226136651692,22.42177,20.26553,19.14157,18.6277,18.21343,0.4651425,0.02503623,0.01586775,0.01469306,0.04016288,0.2474863
15234,16.9580436145,0.828586337661,20.09757,18.87975,18.17071,17.76879,17.47646,0.08284784,0.01516545,0.01108017,0.01241509,0.03092933,0.1363047
15268,338.445059839,0.138681587311,22.73512,21.51602,20.9922,20.82861,22.64638,0.4147542,0.06276509,0.06148046,0.07410099,1.00306,0.2985533
15272,350.772021366,0.0843588582462,21.64804,19.8107,18.49302,17.90334,17.43146,0.2927502,0.02782791,0.01476395,0.01302736,0.03253149,0.2801721
15301,323.579922234,0.588793787042,22.00333,20.9641,20.19451,19.79278,19.49296,0.2216608,0.04172842,0.03218845,0.03664204,0.09910315,0.1798787
15303,350.508895623,0.540940731124,21.32345,20.57592,19.83542,19.5081,19.28907,0.1181624,0.03019394,0.02310013,0.02747194,0.07652933,0.2342895
15325,32.298345169,-0.742253018,22.23452,20.18366,18.91279,18.41439,18.02095,0.2805577,0.0237546,0.01277502,0.01175139,0.02475251,0.213997006416321
15351,326.535404435,-0.0531850062819,21.70898,20.91453,19.89511,19.54872,19.26817,0.1867309,0.04453186,0.03090144,0.03290286,0.09819636,0.31639
15356,335.053311219,0.409933003817,23.21695,22.10005,20.70348,20.09536,19.50708,0.5701784,0.09771933,0.04710397,0.03994947,0.1002772,0.2748803
15359,347.456445868,0.310864030763,21.635,21.03691,20.12264,19.93863,19.48969,0.2089161,0.04372101,0.0309727,0.03472229,0.10293,0.3119994
