cid	redshift	err_redshift	mu	err_mu	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z
14481	0.2435380071401596	2.2500000341096893e-05	40.56050109863281	0.12230399996042252	23.898980428583933	25.558916287660907	23.93605041465114	23.575840891783976	22.76333449918354	0.3897153030665294	0.4167325737064728	0.1205375939539209	0.12073579903059614	0.26775649612603075
14524	0.2721729874610901	1.3900000340072438e-05	40.56340026855469	0.1221110001206398	23.562233993840294	22.630088810233	21.62457219736723	21.185056358236277	20.796822154507247	0.29151818244971023	0.02797093768110201	0.014379462524895541	0.011783666931050084	0.031158075135973396
14593	0.3072054088115692	0.00012215699825901538	40.27360153198242	0.19341999292373657	25.183989425146148	23.72404731793193	22.054303639596966	21.315501387398953	20.749887152319545	1.2547072225948759	0.06878175786945633	0.021361671401616832	0.01365958592480163	0.03184428495054338
14784	0.19232000410556793	2.5699999241624027e-05	39.94269943237305	0.09036389738321304	24.22654624882673	23.504159392044105	22.825684922276213	22.467306164372253	22.86765494229057	0.5205022005520197	0.07079904835193636	0.05186509379606678	0.049151179338863475	0.2734897341119879
14816	0.10722099989652634	1.6833300833241083e-05	38.104698181152344	0.07318729907274246	23.920118644795775	22.333701474714406	21.418902752762122	20.959837474643027	20.767933044832496	0.3497094712687384	0.029529356608615474	0.01584193851875415	0.014281050213251928	0.039656666517925425
14965	0.28099900484085083	2.1500000002561137e-05	40.43239974975586	0.11964599788188934	23.24929075779493	22.952708875748637	22.221670613673503	21.99505819884444	21.653526878741765	0.18262548024020597	0.04537134161128833	0.04188368564817166	0.060231032843094987	0.11850129175953214
1504	0.3173690140247345	0.00011939999967580661	41.032501220703125	0.13585500419139862	24.711765663934	23.83271155238466	22.441785242324535	21.864946319793233	21.542319064768517	0.39760645808882716	0.04946018218479937	0.01835917289068954	0.015220632141583966	0.04132778371736655
15057	0.24684299528598785	1.7300000763498247e-05	40.39440155029297	0.1537960022687912	23.686839176707068	23.007134977974644	22.462096009963076	22.310351409079047	22.33704180882753	0.2446251991328505	0.03569190810193464	0.027186719063291995	0.030407644402453627	0.12833767369350063
15129	0.19739499688148499	5.3499999921768904e-05	39.81529998779297	0.08232860267162323	24.145738892959187	22.552061624046914	21.537872357372994	21.077452972562334	20.660598271653207	0.7502811566673419	0.035574251840384825	0.016924566407049407	0.01464856573432959	0.039500797449424044
15136	0.14874300360679626	1.1299999641778413e-05	38.91469955444336	0.06516829878091812	23.84296409509091	22.371288404465588	21.78190536785532	21.43897238529204	21.112704583000767	0.508153386913838	0.03253490339600559	0.019276254722713628	0.01601370874140566	0.052162000320689884
15137	0.278903990983963	3.260000084992498e-05	40.72420120239258	0.12518000602722168	23.530874811679485	23.16004894899805	22.06146761415353	21.494852920988833	21.19130907270656	0.6940211284649652	0.0497725200997619	0.021323395856595852	0.015544368186847075	0.047424814092322916
15201	0.20881199836730957	3.719999949680641e-05	40.157798767089844	0.10637400299310684	24.907473959838097	24.74293503912024	23.189552953027746	22.615690247077673	22.167067759397938	0.5601673894048013	0.19350221427986658	0.03992507093900086	0.0324722942121595	0.07913067272619037
15203	0.20443899929523468	7.059999916236848e-05	39.97600173950195	0.07943969964981079	23.98471129043465	22.475168577040744	21.41923422466357	20.98029609727853	20.70089826216109	0.3684460482957587	0.027711845742978695	0.013968148222028253	0.013048011862888119	0.035765427921444264
15219	0.247420996427536	2.1300000298651867e-05	40.45220184326172	0.08848749846220016	24.806841753086797	23.824578658890353	22.88669972184296	22.48869634289236	22.261019163429175	0.65249291973362	0.06667352085748848	0.03669643208767646	0.03317280691016252	0.1181472944139012
15234	0.13635799288749695	1.650000012887176e-05	39.236000061035156	0.0669919028878212	24.373308469914438	22.946375396594654	22.271628262499622	21.94729353295856	21.739678232277168	0.4757965678497817	0.039392331849409	0.02747656452121667	0.026833374502630146	0.07916640935158743
15268	0.29856300354003906	1.630000042496249e-05	40.79750061035156	0.11973799765110016	23.86376427538742	23.68416604559536	22.987282043213288	22.577452695367807	22.316647009489714	0.30808027318765485	0.07668679406885903	0.05241323611407881	0.04444421494780394	0.1477449825037231
15272	0.2804589867591858	2.5699999241624027e-05	40.33509826660156	0.12303300201892853	24.504110767845543	24.35120578342756	23.71393882489575	23.8743157306827	23.265509525512048	0.6209888392468004	0.1326243224660612	0.08836813373351549	0.13985215371835671	0.3413956483300228
