GAL,redshift,stellarmass,absmag_u,absmag_g,absmag_r,absmag_i,absmag_z
15419,0.277779,4.51113e+09,-17.0072,-18.3315,-18.9373,-19.3848,-19.5147
15421,0.185368,1.18026e+10,-19.5196,-20.4514,-20.8710,-20.9505,-21.1023
15425,0.159892,2.64966e+10,-18.2687,-20.1364,-20.8408,-21.1508,-21.4217
15433,0.220726,3.87045e+10,-17.9943,-20.5503,-21.2960,-21.6340,-22.0185
15440,0.262263,3.65666e+10,-18.8351,-20.4039,-21.1417,-21.5572,-21.8262
15443,0.181908,1.86291e+10,-19.0240,-20.2596,-20.7997,-21.0105,-21.2868
15459,0.126795,8.54552e+08,-16.9799,-18.0810,-18.4145,-18.4796,-18.4543
15461,0.186211,2.00761e+10,-18.8377,-20.2552,-20.8862,-21.1625,-21.4204
15467,0.210412,2.37525e+10,-19.8858,-21.0788,-21.5210,-21.6474,-21.8925
15483, 0.00000, 592.609, 1.86748,0.237539,-1.42259,-2.02901,-2.35846
15535,0.200824,1.46565e+10,-17.8960,-19.3314,-20.1322,-20.5229,-20.8837
15558,0.305936,3.94934e+09,-19.1597,-20.0218,-20.2870,-20.2438,-20.4819
15587,0.218787,4.05430e+10,-19.9676,-21.0649,-21.6421,-21.8811,-22.1480
15648,0.175017,1.09199e+11,-19.1105,-21.2211,-22.1406,-22.5758,-22.9400
15663,0.292145,2.70813e+10,-17.6550,-20.2574,-20.9018,-21.1940,-21.3741
15719,0.268604,1.05613e+10,-17.7524,-19.4356,-20.1855,-20.4243,-20.8885
15765,0.304804,2.79831e+11,-20.9694,-22.3720,-23.1898,-23.5936,-23.8853
15784,0.277591,3.64990e+10,-19.7625,-21.1948,-21.6826,-21.9238,-22.1457
15806,0.251766,5.25905e+10,-19.5665,-20.8653,-21.6416,-21.9617,-22.3686
15829,0.248868,4.57405e+08,-16.8639,-18.1093,-18.4901,-18.1992,-19.0492
15866,0.190044,9.44516e+10,-18.2860,-21.0898,-22.0016,-22.4122,-22.7161
15901,0.204837,4.50603e+09,-18.2137,-19.6713,-20.1018,-20.1978,-20.2773
15909,0.218095,9.55719e+10,-19.4887,-21.2607,-22.0658,-22.4424,-22.7797
15950,0.220425,1.44891e+11,-20.9906,-22.3306,-22.9518,-23.2315,-23.5631
15971,0.315882,9.53079e+10,-19.6036,-21.2617,-22.0630,-22.4748,-22.7950
16021,0.124641,1.11378e+10,-18.3328,-19.6791,-20.2147,-20.4274,-20.6666
16069,0.128765,3.96829e+10,-19.4157,-20.7484,-21.4363,-21.7782,-22.1353
16073,0.154732,5.39243e+09,-18.1187,-19.0825,-19.5572,-19.8206,-20.1837
16093,0.336066,1.40675e+10,-18.9949,-20.3747,-20.8931,-21.0410,-21.4725
16116,0.156508,3.45209e+09,-17.7467,-18.6348,-19.0786,-19.2443,-19.5323
16163,0.155053,3.21153e+10,-19.3870,-20.7413,-21.3509,-21.5992,-21.8579
16185,0.101359,3.68708e+09,-16.1730,-17.8435,-18.5835,-18.9196,-19.2196
16199,0.282385,9.06366e+09,-18.3953,-19.4147,-20.0006,-20.2304,-20.0591
16206,0.159727,5.23294e+10,-18.8459,-20.6121,-21.4107,-21.7799,-22.1131
16237,0.313205,1.02526e+10,-19.5892,-20.0695,-20.6361,-20.6865,-20.9029
16298,0.282787,2.96104e+10,-16.7042,-20.0794,-20.8854,-21.4096,-21.8667
16393,0.316414,7.24197e+10,-19.7561,-20.9764,-21.8132,-22.2405,-22.6030
16405,0.275718,7.67839e+10,-20.1661,-21.3678,-22.0154,-22.3296,-22.5038
16460,0.281994,2.08283e+09,-17.7330,-18.7582,-19.1523,-19.1750,-19.6467
1658,0.277280,3.95315e+09,-17.8704,-19.5334,-19.8138,-20.0522,-19.6589
16590,0.306370,1.77874e+10,-18.7350,-20.6878,-21.1398,-21.2876,-21.7286
16739,0.265681,1.71055e+10,-18.8365,-19.9506,-20.4972,-20.8162,-20.8730
17168,0.185182,4.18661e+09,-18.4177,-19.5138,-19.9016,-19.9561,-20.1188
17186,0.0788358,3.52147e+07,-14.7052,-15.9745,-16.1178,-15.6729,-16.2369
17206,0.156466,2.34280e+10,-18.1677,-19.7042,-20.5798,-21.0290,-21.4025
17218,0.178386,1.23909e+10,-18.6445,-19.7721,-20.3155,-20.5390,-20.8172
17395,0.302609,3.64236e+10,-19.4391,-20.8589,-21.4832,-21.7811,-22.1100
17423,0.265205,4.57373e+10,-19.5635,-20.7260,-21.4688,-21.8123,-22.1491
17552,0.253338,2.57486e+10,-18.4501,-20.0351,-20.8454,-21.2509,-21.7364
17647,0.274620,3.23575e+09,-15.9685,-19.5771,-19.7014,-20.0245,-19.9543
17687,0.303252,2.68616e+10,-18.8305,-20.4328,-20.9983,-21.3562,-21.5562
17695,0.182905,4.32804e+09,-18.2258,-19.0677,-19.5073,-19.6573,-19.8763
17773,0.288060,6.26952e+09,-18.8765,-19.7426,-20.1607,-20.2592,-20.4765
17809,0.288978,7.51041e+09,-18.4387,-19.6048,-19.9773,-20.2810,-20.3209
