#SNID	objid	ra	dec	PetroRad_r	u	g	r	i	z	err_u	err_g	err_r	err_i	err_z	redshift
#		degree	degree	arcsec	mag	mag	mag	mag	mag	mag	mag	mag	mag	mag	
15217	1237657071157051793	22.6341327921	0.220985028018	1.326417	23.35881	22.14532	20.64467	20.05009	19.63892	0.603401	0.09265663	0.03809391	0.03263264	0.09310809	0.3813556
15219	1237666408457568503	34.6107546157	0.226136651692	2.420649	22.42177	20.26553	19.14157	18.6277	18.21343	0.4651425	0.02503623	0.01586775	0.01469306	0.04016288	0.2474863
15229	1237657192517927319	4.83199554104	1.09063526004	1.704771	22.11619	22.00525	21.47721	21.27924	21.48262	0.2446517	0.09228656	0.08600924	0.1095682	0.4465632
15259	1237663478723773428	337.544223051	-0.407811595043	2.969604	23.07445	22.63071	21.53652	21.15076	20.30065	0.9945707	0.3097585	0.1853124	0.1930895	0.35842
15287	1237656567043327064	323.960657274	-1.05895672587	2.133034	23.28364	21.54174	20.18376	19.65128	19.21273	0.7188835	0.07767871	0.03377952	0.03204065	0.08199285	0.2376857
15354	1237657190908166490	6.77425793277	-0.125964282057	2.073267	22.5002	20.65193	19.28042	18.78623	18.55365	0.3590808	0.03451316	0.01697791	0.0157376	0.04672568
15356	1237663543685087893	335.053311219	0.409933003817	1.881177	23.21695	22.10005	20.70348	20.09536	19.50708	0.5701784	0.09771933	0.04710397	0.03994947	0.1002772	0.2748803
15369	1237666407363773122	348.833077871	-0.562641663847	0.9394418	23.37029	23.95728	22.84968	22.86153	22.16009	0.6320745	0.3687863	0.2117678	0.2806696	0.4655734
15383	1237666407920501314	34.1496932546	-0.155285346814	4.517228	23.03376	21.57556	20.22823	19.686	19.39019	0.5638565	0.06504106	0.02970399	0.02652338	0.08486363	0.3160464
15421	1237663784749039900	33.7413200054	0.602716237483	3.628544	20.39871	19.49338	18.89788	18.59686	18.55008	0.08121447	0.02004728	0.01707548	0.0204254	0.06043803	0.1853683
15425	1237663239278231823	55.5610761212	0.478357705445	1.829214	21.65033	19.66519	18.67096	18.2415	17.96537	0.1491307	0.01587913	0.01010963	0.01050846	0.02311112	0.1598923
15440	1237663784214790662	39.7206045448	0.0901050306108	2.398941	22.33752	20.92472	19.75747	19.21784	18.91232	0.3229613	0.04391437	0.02342204	0.02095248	0.06567531	0.2621589
15443	1237660240313581839	49.8674396937	-0.318010567152	2.778901	20.89535	19.73092	18.97429	18.62114	18.37915	0.1347577	0.02167301	0.01776268	0.01891345	0.0701528	0.1819083
15453	1237663542067725571	319.668391123	-1.02424078233	1.494762	23.79735	22.40929	21.92089	21.5773	21.86302	0.8198582	0.1358321	0.1662507	0.1659489	0.7008631
15456	1237656906342727883	331.866880974	-0.903804048	1.934205	22.23604	21.1415	20.01936	19.49234	19.17024	0.2956677	0.05353856	0.0283965	0.02657031	0.07555109
15459	1237656906346660220	340.701448831	-0.901774718132	1.78836	21.87786	20.7696	20.35241	20.22732	20.21357	0.2179196	0.03781286	0.03597826	0.04876509	0.1884158	0.1267946
15461	1237663542607741904	326.848227059	-0.49474951917	3.966842	21.41769	19.88201	19.02201	18.5571	18.3778	0.223857	0.0284331	0.02228073	0.02739852	0.0643513	0.1862115
15466	1237663543140550186	317.645441324	-0.12269627524	2.165302	22.1804	20.48982	19.55581	19.04549	18.69418	0.2769447	0.03076815	0.02470702	0.02260386	0.06371231	0.2461435
15467	1237663543141597901	320.020099128	-0.177351533968	3.454175	20.37204	19.23989	18.5768	18.26406	18.10176	0.07747072	0.01508557	0.01404471	0.01620945	0.05042912	0.210412
15504	1237656906348822895	345.701396981	-0.876867995123	2.913858	22.75106	20.59947	19.38625	18.851	18.42542	0.6391396	0.04530062	0.02321585	0.0223921	0.05664055	0.2698182
15508	1237666407380549827	27.1694726909	-0.575758117441	5.398664	20.59012	19.40743	18.87566	18.55239	18.31341	0.1926282	0.02559448	0.02513641	0.02796434	0.08120877	0.1346457
15583	1237678617434325666	37.7310825777	0.946246212683	1.664679	23.72066	22.1059	21.27591	21.07705	20.62773	0.7437833	0.09829722	0.0654166	0.0853598	0.2047646	0.6809462
15648	1237663543138845573	313.718799031	-0.195816658847	3.777461	21.25633	19.019	17.70221	17.15433	16.75867	0.1734672	0.01332061	0.007726015	0.007242851	0.01753072	0.1750174
